index,Name,yawn
56,25-MaleSunGlasses-Yawning.avi,True
152,8-FemaleGlasses-Yawning.avi,True
96,32-FemaleSunGlasses-Yawning.avi,True
57,23-FemaleNoGlasses-Yawning.avi,True
163,9-MaleNoGlasses-Yawning.avi,True
95,34-MaleNoGlasses-Yawning.avi,True
134,42-FemaleSunGlasses-Yawning.avi,True
2,10-FemaleNoGlasses-Yawning.avi,True
34,20-MaleGlasses-Talking&yawning.avi,True
115,37-FemaleNoGlasses-Yawning.avi,True
160,8-MaleGlassesBeard-Yawning.avi,True
122,39-FemaleNoGlasses-Yawning.avi,True
72,27-FemaleNoGlasses-Talking&Yawning.avi,True
8,12-MaleGlasses-Yawning.avi,True
91,33-MaleGlasses-Talking&Yawning.avi,True
65,25-FemaleSunGlasses-Yawning.avi,True
92,33-MaleGlasses-Yawning.avi,True
43,23-MaleGlassesBeard-Talking&Yawning.avi,True
77,2-MaleGlasses-Yawning.avi,True
29,1-MaleNoGlasses-Yawning.avi,True
56,23-FemaleNoGlasses-Talking&Yawning.avi,True
99,33-FemaleNoGlasses-Yawning.avi,True
44,20-FemaleNoGlasses-Yawning.avi,True
70,26-FemaleSunGlasses-Yawning.avi,True
53,25-MaleGlasses-Yawning.avi,True
11,13-FemaleNoGlasses-Yawning.avi,True
14,14-FemaleNoGlasses-Yawning.avi,True
102,34-FemaleNoGlasses-Talking&Yawning.avi,True
128,40-FemaleNoGlasses-Yawning.avi,True
118,38-FemaleNoGlasses-Yawning.avi,True
53,22-FemaleSunGlasses-Yawning.avi,True
127,41-MaleNoGlasses-Yawning.avi,True
81,30-MaleGlasses-Yawning.avi,True
21,17-MaleNoGlasses-Yawning.avi,True
41,1-FemaleNoGlasses-Yawning.avi,True
155,9-FemaleNoGlasses-Yawning.avi,True
11,13-MaleGlasses-Yawning.avi,True
90,31-FemaleGlasses-Yawning.avi,True
107,37-MaleNoGlasses-Yawning.avi,True
47,21-FemaleNoGlasses-Yawning.avi,True
44,23-MaleGlassesBeard-Yawning.avi,True
60,24-FemaleNoGlasses-Yawning.avi,True
71,28-MaleNoGlasses-Yawning.avi,True
84,31-MaleGlasses-Yawning.avi,True
130,42-MaleNoGlasses-Yawning.avi,True
24,18-MaleNoGlasses-Yawning.avi,True
114,37-FemaleNoGlasses-Talking&Yawning.avi,True
113,38-MaleSunGlasses-Yawning.avi,True
136,44-MaleNoGlasses-Yawning.avi,True
31,18-FemaleNoGlasses-Yawning.avi,True
131,41-FemaleGlasses-Yawning.avi,True
87,32-MaleGlasses-Talking&Yawning.avi,True
121,39-FemaleNoGlasses-Talking&Yawning.avi,True
75,27-FemaleSunGlasses-Yawning.avi,True
50,22-FemaleNoGlasses-Yawning.avi,True
111,36-FemaleNoGlasses-Yawning.avi,True
68,26-FemaleGlasses-Yawning.avi,True
124,40-MaleNoGlasses-Yawning.avi,True
47,23-MaleNoGlasses-Yawning.avi,True
146,6-FemaleNoGlasses-Yawning.avi,True
8,12-FemaleNoGlasses-Yawning.avi,True
68,28-MaleGlasses-Yawning.avi,True
2,10-MaleNoGlasses-Yawning.avi,True
151,5-MaleNoGlasses-Yawning.avi,True
101,36-MaleNoGlasses-Yawning.avi,True
125,3-FemaleGlasses-Yawning.avi,True
28,17-FemaleSunGlasses-Yawning.avi,True
88,32-MaleGlasses-Yawning.avi,True
37,21-MaleGlasses-Yawning.avi,True
154,6-MaleNoGlasses-Yawning.avi,True
145,47-MaleNoGlasses-Yawning.avi,True
149,7-FemaleGlasses-Yawning.avi,True
62,25-FemaleNoGlasses-Yawning.avi,True
